Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,106.4,107.48,105.97,106.08,6687389.0,0.0,1.0,105.31366988088487,106.38264322178107,104.8880601247873,104.99693703913783,6687389.0
2017-04-27,105.96,105.98,104.67,105.47,5781839.0,0.0,1.0,104.8781622234827,104.8979580260919,103.60133295519003,104.39316505955757,5781839.0
2017-04-28,107.05,107.6,105.99,106.7,6848413.0,0.0,1.0,105.9570334656835,106.5014180374362,104.90785592739648,105.6106069200227,6848413.0
2017-05-01,106.26,106.73,105.76,105.92,4955462.0,0.0,1.0,105.17509926262055,105.64030062393648,104.68020419739082,104.83857061826433,4955462.0
2017-05-02,106.11,106.53,105.09,105.36,5112150.0,0.0,1.0,105.02663074305163,105.44234259784459,104.01704480998299,104.28428814520704,5112150.0
2017-05-03,105.36,107.26,105.13,106.72,5662453.0,0.0,1.0,104.28428814520704,106.16488939307999,104.05663641520137,105.63040272263189,5662453.0
2017-05-04,106.24,106.33,104.14,104.81,8039858.0,0.0,1.0,105.15530346001134,105.2443845717527,103.07674418604653,103.73990357345434,8039858.0
2017-05-05,104.92,105.885,104.7,105.79,5060047.0,0.0,1.0,103.84878048780489,104.80392796369826,103.63102665910381,104.7098979013046,5060047.0
2017-05-08,105.93,106.72,105.82,106.68,5175129.0,0.0,1.0,104.84846851956893,105.63040272263189,104.73959160521838,105.59081111741351,5175129.0
2017-05-09,106.51,106.75,104.815,105.08,5023973.0,0.0,1.0,105.4225467952354,105.66009642654566,103.74485252410665,104.0071469086784,5023973.0
2017-05-10,105.819,106.83,105.54,106.5,5582820.0,0.0,1.0,104.73860181508793,105.73927963698242,104.46245036868974,105.41264889393081,5582820.0
2017-05-11,107.08,107.08,105.63,106.21,4632113.0,0.0,1.0,105.98672716959729,105.98672716959729,104.55153148043108,105.12560975609756,4632113.0
2017-05-12,106.06,106.2887,105.48,105.96,4488164.0,0.0,1.0,104.97714123652865,105.20350623936473,104.40306296086217,104.8781622234827,4488164.0
2017-05-15,107.15,107.71,106.675,106.85,6622659.0,0.0,1.0,106.05601247872946,106.61029495178673,105.5858621667612,105.75907543959161,6622659.0
2017-05-16,107.57,107.66,106.94,107.25,5001388.0,0.0,1.0,106.4717243335224,106.56080544526375,105.84815655133296,106.15499149177539,5001388.0
2017-05-17,105.53,106.27,104.62,104.7,6384265.0,1.08,1.0,105.53,106.27,104.62,104.7,6384265.0
2017-05-18,104.55,105.68,103.84,105.17,5618081.0,0.0,1.0,104.55,105.68,103.84,105.17,5618081.0
2017-05-19,105.52,106.52,105.17,106.52,8383478.0,0.0,1.0,105.52,106.52,105.17,106.52,8383478.0
2017-05-22,107.09,107.09,105.75,106.12,4491132.0,0.0,1.0,107.09,107.09,105.75,106.12,4491132.0
2017-05-23,106.07,106.56,105.98,106.27,3457120.0,0.0,1.0,106.07,106.56,105.98,106.27,3457120.0
2017-05-24,106.1,106.36,105.725,106.22,3475866.0,0.0,1.0,106.1,106.36,105.725,106.22,3475866.0
2017-05-25,106.1,106.71,104.72,105.11,5292877.0,0.0,1.0,106.1,106.71,104.72,105.11,5292877.0
2017-05-26,105.05,105.285,104.6,104.72,3752505.0,0.0,1.0,105.05,105.285,104.6,104.72,3752505.0
2017-05-30,104.35,104.7105,103.7505,104.06,4287956.0,0.0,1.0,104.35,104.7105,103.7505,104.06,4287956.0
2017-05-31,103.55,103.89,103.07,103.48,8037936.0,0.0,1.0,103.55,103.89,103.07,103.48,8037936.0
2017-06-01,103.69,104.28,103.43,104.27,4769089.0,0.0,1.0,103.69,104.28,103.43,104.27,4769089.0
2017-06-02,103.82,103.94,102.77,103.11,5864015.0,0.0,1.0,103.82,103.94,102.77,103.11,5864015.0
2017-06-05,102.8,103.58,102.6301,103.19,4523327.0,0.0,1.0,102.8,103.58,102.6301,103.19,4523327.0
2017-06-06,103.11,104.45,102.76,104.17,4683859.0,0.0,1.0,103.11,104.45,102.76,104.17,4683859.0
2017-06-07,103.97,104.43,102.55,103.77,7196736.0,0.0,1.0,103.97,104.43,102.55,103.77,7196736.0
2017-06-08,103.44,104.74,103.44,104.0,6493595.0,0.0,1.0,103.44,104.74,103.44,104.0,6493595.0
2017-06-09,104.01,106.49,104.01,106.4,6595555.0,0.0,1.0,104.01,106.49,104.01,106.4,6595555.0
2017-06-12,107.42,108.43,107.2846,108.04,8690221.0,0.0,1.0,107.42,108.43,107.2846,108.04,8690221.0
2017-06-13,108.34,108.49,107.16,108.13,6099745.0,0.0,1.0,108.34,108.49,107.16,108.13,6099745.0
2017-06-14,107.91,107.99,105.74,106.6,6198165.0,0.0,1.0,107.91,107.99,105.74,106.6,6198165.0
2017-06-15,106.5,106.8,105.87,106.33,5441421.0,0.0,1.0,106.5,106.8,105.87,106.33,5441421.0
2017-06-16,106.94,108.36,106.21,108.35,11633919.0,0.0,1.0,106.94,108.36,106.21,108.35,11633919.0
2017-06-19,108.31,108.38,107.14,107.46,4577407.0,0.0,1.0,108.31,108.38,107.14,107.46,4577407.0
2017-06-20,106.25,106.6,105.38,106.48,5171238.0,0.0,1.0,106.25,106.6,105.38,106.48,5171238.0
2017-06-21,105.89,106.9,103.92,104.49,6989385.0,0.0,1.0,105.89,106.9,103.92,104.49,6989385.0
2017-06-22,104.48,105.14,104.04,104.45,4197378.0,0.0,1.0,104.48,105.14,104.04,104.45,4197378.0
2017-06-23,104.25,105.42,104.24,105.0,5773319.0,0.0,1.0,104.25,105.42,104.24,105.0,5773319.0
2017-06-26,105.03,105.19,104.03,104.14,3602490.0,0.0,1.0,105.03,105.19,104.03,104.14,3602490.0
2017-06-27,104.73,104.89,104.03,104.07,4170294.0,0.0,1.0,104.73,104.89,104.03,104.07,4170294.0
2017-06-28,104.43,104.9,104.04,104.28,4162306.0,0.0,1.0,104.43,104.9,104.04,104.28,4162306.0
2017-06-29,104.38,105.15,104.05,104.12,4288630.0,0.0,1.0,104.38,105.15,104.05,104.12,4288630.0
2017-06-30,104.53,104.72,103.89,104.33,5496922.0,0.0,1.0,104.53,104.72,103.89,104.33,5496922.0
2017-07-03,104.24,106.96,104.24,106.3,4419061.0,0.0,1.0,104.24,106.96,104.24,106.3,4419061.0
2017-07-05,105.99,106.3,104.27,104.62,4482676.0,0.0,1.0,105.99,106.3,104.27,104.62,4482676.0
2017-07-06,104.67,105.13,103.71,103.82,5084808.0,0.0,1.0,104.67,105.13,103.71,103.82,5084808.0
2017-07-07,103.59,103.76,102.81,103.49,6456968.0,0.0,1.0,103.59,103.76,102.81,103.49,6456968.0
2017-07-10,103.44,103.581,102.6,103.04,4629028.0,0.0,1.0,103.44,103.581,102.6,103.04,4629028.0
2017-07-11,103.15,103.5,102.55,103.12,4322332.0,0.0,1.0,103.15,103.5,102.55,103.12,4322332.0
2017-07-12,104.0,104.75,103.47,103.89,3978070.0,0.0,1.0,104.0,104.75,103.47,103.89,3978070.0
2017-07-13,103.8,104.21,103.46,104.13,4439131.0,0.0,1.0,103.8,104.21,103.46,104.13,4439131.0
2017-07-14,104.38,104.64,103.73,104.44,3644262.0,0.0,1.0,104.38,104.64,103.73,104.44,3644262.0
2017-07-17,104.32,104.97,104.08,104.21,5570639.0,0.0,1.0,104.32,104.97,104.08,104.21,5570639.0
2017-07-18,104.6,104.6,103.51,103.72,4339385.0,0.0,1.0,104.6,104.6,103.51,103.72,4339385.0
