Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,153.11,154.8076,152.4,154.22,5120177.0,0.0,1.0,152.2295457776055,153.9173837823868,151.5236286101958,153.33316275764037,5120177.0
2017-04-27,154.69,156.27,153.89,156.12,5881432.0,0.0,1.0,153.80046003747498,155.37137429734446,153.0050604122246,155.22223686761,5881432.0
2017-04-28,156.01,156.25,154.102,156.1,4983041.0,0.0,1.0,155.11286941913806,155.3514893067132,153.21584131291596,155.20235187697875,4983041.0
2017-05-01,156.22,156.27,154.21,154.21,3152949.0,0.0,1.0,155.3216618207663,155.37137429734446,153.32322026232475,153.32322026232475,3152949.0
2017-05-02,154.49,155.16,153.76,154.95,3295105.0,0.0,1.0,153.6016101311624,154.26775731730956,152.8758079731214,154.05896491568134,3295105.0
2017-05-03,155.16,155.39,154.59,155.0,2445464.0,0.0,1.0,154.26775731730956,154.49643470956903,153.70103508431868,154.1086773922595,2445464.0
2017-05-04,155.46,155.64,154.26,154.86,3793067.0,0.0,1.0,154.56603217677846,154.74499709245978,153.3729327389029,153.96948245784068,3793067.0
2017-05-05,155.34,155.75,154.09,155.73,2500636.0,0.0,1.0,154.4467222329909,154.85436454093173,153.2039103185372,154.83447955030044,2500636.0
2017-05-08,155.85,157.16,155.49,156.89,3184576.0,0.0,1.0,154.953789494088,156.2562563804355,154.59585966272536,155.9878090069135,3184576.0
2017-05-09,157.04,157.74,156.29,157.68,3004377.0,0.0,1.0,156.13694643664795,156.83292110874203,155.3912592879757,156.77326613684824,3004377.0
2017-05-10,157.52,158.15,157.3,158.13,2617601.0,0.0,1.0,156.61418621179817,157.24056341668285,156.3954513148543,157.22067842605156,2617601.0
2017-05-11,157.35,157.7,155.33,156.2,3929068.0,0.0,1.0,156.44516379143246,156.7931511274795,154.4367797376753,155.30177683013503,3929068.0
2017-05-12,156.39,157.2,155.75,156.92,2926365.0,0.0,1.0,155.490684241132,156.296026361698,154.85436454093173,156.01763649286036,2926365.0
2017-05-15,157.28,157.84,156.66,157.33,6045540.0,0.0,1.0,156.37556632422306,156.93234606189833,155.75913161465402,156.4252788008012,6045540.0
2017-05-16,160.11,160.86,158.05,158.26,10120878.0,0.0,1.0,159.18929249854625,159.93497964721848,157.14113846352654,157.34993086515476,10120878.0
2017-05-17,157.08,157.3,155.89,156.09,5936974.0,0.0,1.0,156.17671641791048,156.3954513148543,154.9935594753505,155.19240938166314,5936974.0
2017-05-18,155.48,156.665,155.24,155.7,4858557.0,0.0,1.0,154.58591716740972,155.76410286231183,154.3472972798346,154.80465206435355,4858557.0
2017-05-19,156.04,156.74,155.32,156.3,4781806.0,0.0,1.0,155.14269690508496,155.83867157717907,154.42683724235962,155.40120178329136,4781806.0
2017-05-22,156.49,157.0,155.8,155.96,3800660.0,0.0,1.0,155.59010919428832,156.0971764553854,154.90407701750988,155.06315694255994,3800660.0
2017-05-23,155.91,156.43,154.68,154.83,4640854.0,0.0,1.0,155.0134444659818,155.53045422239455,153.79051754215936,153.9396549718938,4640854.0
2017-05-24,154.7,155.43,153.29,155.0,4592587.0,0.0,1.0,153.8104025327906,154.53620469083157,152.40851069328681,154.1086773922595,4592587.0
2017-05-25,156.2,156.69,155.35,156.46,3110736.0,0.0,1.0,155.30177683013503,155.7889591006009,154.45666472830652,155.56028170834142,3110736.0
2017-05-26,156.1,156.42,154.64,154.9,4284660.0,0.0,1.0,155.20235187697875,155.52051172707888,153.75074756089683,154.0092524391032,4284660.0
2017-05-30,154.0,154.56,153.52,153.88,3504291.0,0.89,1.0,154.0,154.56,153.52,153.88,3504291.0
2017-05-31,154.36,154.38,153.28,153.51,7158383.0,0.0,1.0,154.36,154.38,153.28,153.51,7158383.0
2017-06-01,153.52,155.16,152.74,155.15,3384233.0,0.0,1.0,153.52,155.16,152.74,155.15,3384233.0
2017-06-02,154.79,155.86,154.42,155.35,3485310.0,0.0,1.0,154.79,155.86,154.42,155.35,3485310.0
2017-06-05,155.53,155.62,154.23,154.79,2651789.0,0.0,1.0,155.53,155.62,154.23,154.79,2651789.0
2017-06-06,154.44,154.66,153.65,154.2,3260265.0,0.0,1.0,154.44,154.66,153.65,154.2,3260265.0
2017-06-07,154.69,155.3,154.35,154.96,3158964.0,0.0,1.0,154.69,155.3,154.35,154.96,3158964.0
2017-06-08,155.16,155.2335,153.3801,153.5,4041556.0,0.0,1.0,155.16,155.2335,153.3801,153.5,4041556.0
2017-06-09,154.0,154.0,152.78,152.96,4705349.0,0.0,1.0,154.0,154.0,152.78,152.96,4705349.0
2017-06-12,152.8,153.3,151.73,152.18,4473919.0,0.0,1.0,152.8,153.3,151.73,152.18,4473919.0
2017-06-13,152.31,154.04,152.06,153.99,3753767.0,0.0,1.0,152.31,154.04,152.06,153.99,3753767.0
2017-06-14,154.5,157.28,153.96,156.76,5999411.0,0.0,1.0,154.5,157.28,153.96,156.76,5999411.0
2017-06-15,156.13,157.27,154.92,156.77,3972260.0,0.0,1.0,156.13,157.27,154.92,156.77,3972260.0
2017-06-16,156.25,156.69,155.41,156.64,9105408.0,0.0,1.0,156.25,156.69,155.41,156.64,9105408.0
2017-06-19,156.91,159.03,156.39,158.81,5195484.0,0.0,1.0,156.91,159.03,156.39,158.81,5195484.0
2017-06-20,158.73,159.2242,157.6,157.67,4201226.0,0.0,1.0,158.73,159.2242,157.6,157.67,4201226.0
2017-06-21,157.91,158.53,156.43,156.59,4071298.0,0.0,1.0,157.91,158.53,156.43,156.59,4071298.0
2017-06-22,156.44,157.07,155.47,155.48,3347363.0,0.0,1.0,156.44,157.07,155.47,155.48,3347363.0
2017-06-23,155.16,155.23,150.91,151.31,11422231.0,0.0,1.0,155.16,155.23,150.91,151.31,11422231.0
2017-06-26,151.67,151.97,151.13,151.42,4128535.0,0.0,1.0,151.67,151.97,151.13,151.42,4128535.0
2017-06-27,151.06,153.25,150.75,152.24,4567125.0,0.0,1.0,151.06,153.25,150.75,152.24,4567125.0
2017-06-28,152.75,153.45,152.36,153.23,5084618.0,0.0,1.0,152.75,153.45,152.36,153.23,5084618.0
2017-06-29,152.77,153.0,151.52,152.16,2855395.0,0.0,1.0,152.77,153.0,151.52,152.16,2855395.0
2017-06-30,152.51,154.0,152.27,153.4,3640801.0,0.0,1.0,152.51,154.0,152.27,153.4,3640801.0
2017-07-03,154.39,154.79,153.71,154.01,1658535.0,0.0,1.0,154.39,154.79,153.71,154.01,1658535.0
2017-07-05,154.01,154.295,151.46,152.69,4432537.0,0.0,1.0,154.01,154.295,151.46,152.69,4432537.0
2017-07-06,151.77,152.48,151.22,152.05,3408538.0,0.0,1.0,151.77,152.48,151.22,152.05,3408538.0
2017-07-07,152.04,152.87,151.9,152.23,3775383.0,0.0,1.0,152.04,152.87,151.9,152.23,3775383.0
2017-07-10,152.22,152.26,151.0,151.18,5081101.0,0.0,1.0,152.22,152.26,151.0,151.18,5081101.0
2017-07-11,151.45,151.81,150.5,150.6,5641983.0,0.0,1.0,151.45,151.81,150.5,150.6,5641983.0
2017-07-12,151.46,153.14,151.09,152.59,4275878.0,0.0,1.0,151.46,153.14,151.09,152.59,4275878.0
2017-07-13,152.82,154.13,152.6,153.29,3287961.0,0.0,1.0,152.82,154.13,152.6,153.29,3287961.0
2017-07-14,153.22,153.67,151.82,152.88,3588205.0,0.0,1.0,153.22,153.67,151.82,152.88,3588205.0
2017-07-17,152.9,154.5,152.72,153.89,4166468.0,0.0,1.0,152.9,154.5,152.72,153.89,4166468.0
2017-07-18,153.75,153.86,151.98,152.17,3783567.0,0.0,1.0,153.75,153.86,151.98,152.17,3783567.0
