Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,160.53,161.1,159.89,160.06,4328001.0,0.0,1.0,158.9717588817705,159.5362259755387,158.33797126771498,158.5063211026985,4328001.0
2017-04-27,160.29,160.48,159.63,160.32,4122943.0,0.0,1.0,158.7340885264997,158.92224422442243,158.08049504950495,158.76379732090854,4122943.0
2017-04-28,160.5,160.59,159.7,160.29,4154147.0,0.0,1.0,158.94205008736168,159.03117647058824,158.14981556979225,158.7340885264997,4154147.0
2017-05-01,160.05,160.42,158.7,158.84,4935312.0,0.0,1.0,158.4964181712289,158.86282663560473,157.1595224228305,157.29816346340516,4935312.0
2017-05-02,159.44,159.49,158.64,159.1,3208239.0,0.0,1.0,157.89233935158222,157.9418540089303,157.1001048340128,157.55563968161522,3208239.0
2017-05-03,158.74,159.45,158.52,158.63,3993292.0,0.0,1.0,157.199134148709,157.9022422830518,156.9812696563774,157.09020190254319,3993292.0
2017-05-04,158.89,159.14,158.36,159.05,4280613.0,0.0,1.0,157.34767812075324,157.59525140749366,156.82282275286352,157.50612502426713,4280613.0
2017-05-05,153.52,155.78,153.0,155.05,12521335.0,0.0,1.0,152.02980392156863,154.26786643370218,151.5148514851485,153.54495243642012,12521335.0
2017-05-08,152.8,153.47,152.2,153.03,7491966.0,1.5,1.0,152.8,153.47,152.2,153.03,7491966.0
2017-05-09,152.6,153.1,151.5552,152.11,6853043.0,0.0,1.0,152.6,153.1,151.5552,152.11,6853043.0
2017-05-10,151.651,152.37,151.13,151.25,4999861.0,0.0,1.0,151.651,152.37,151.13,151.25,4999861.0
2017-05-11,151.05,151.15,149.79,150.65,5627964.0,0.0,1.0,151.05,151.15,149.79,150.65,5627964.0
2017-05-12,150.3,151.265,150.0,150.37,3715702.0,0.0,1.0,150.3,151.265,150.0,150.37,3715702.0
2017-05-15,150.62,151.83,150.4502,151.51,4232921.0,0.0,1.0,150.62,151.83,150.4502,151.51,4232921.0
2017-05-16,151.66,153.99,151.66,153.68,5513690.0,0.0,1.0,151.66,153.99,151.66,153.68,5513690.0
2017-05-17,153.3,154.14,150.89,150.93,5191494.0,0.0,1.0,153.3,154.14,150.89,150.93,5191494.0
2017-05-18,150.86,151.33,150.11,150.78,3274371.0,0.0,1.0,150.86,151.33,150.11,150.78,3274371.0
2017-05-19,151.01,152.46,150.89,151.98,5643264.0,0.0,1.0,151.01,152.46,150.89,151.98,5643264.0
2017-05-22,152.1,152.84,151.5992,152.64,3302139.0,0.0,1.0,152.1,152.84,151.5992,152.64,3302139.0
2017-05-23,152.57,153.68,151.92,152.03,2564503.0,0.0,1.0,152.57,153.68,151.92,152.03,2564503.0
2017-05-24,152.21,152.76,151.23,152.51,3732399.0,0.0,1.0,152.21,152.76,151.23,152.51,3732399.0
2017-05-25,153.25,153.73,152.9459,153.2,2582714.0,0.0,1.0,153.25,153.73,152.9459,153.2,2582714.0
2017-05-26,152.85,153.0,152.06,152.49,2443507.0,0.0,1.0,152.85,153.0,152.06,152.49,2443507.0
2017-05-30,151.95,152.67,151.59,151.73,3666032.0,0.0,1.0,151.95,152.67,151.59,151.73,3666032.0
2017-05-31,152.03,152.8,151.65,152.63,3543404.0,0.0,1.0,152.03,152.8,151.65,152.63,3543404.0
2017-06-01,152.8,152.87,151.63,152.67,2918122.0,0.0,1.0,152.8,152.87,151.63,152.67,2918122.0
2017-06-02,153.07,153.2,151.8,152.05,3585701.0,0.0,1.0,153.07,153.2,151.8,152.05,3585701.0
2017-06-05,151.82,152.93,151.6826,152.41,3975268.0,0.0,1.0,151.82,152.93,151.6826,152.41,3975268.0
2017-06-06,152.0,152.89,152.0,152.37,3797173.0,0.0,1.0,152.0,152.89,152.0,152.37,3797173.0
2017-06-07,153.05,154.2,150.8,150.98,4862943.0,0.0,1.0,153.05,154.2,150.8,150.98,4862943.0
2017-06-08,151.0,152.82,150.92,152.1,3708962.0,0.0,1.0,151.0,152.82,150.92,152.1,3708962.0
2017-06-09,152.0,154.265,151.88,154.1,4361460.0,0.0,1.0,152.0,154.265,151.88,154.1,4361460.0
2017-06-12,154.19,157.2,154.02,155.18,6470545.0,0.0,1.0,154.19,157.2,154.02,155.18,6470545.0
2017-06-13,155.44,155.48,154.15,154.25,3523529.0,0.0,1.0,155.44,155.48,154.15,154.25,3523529.0
2017-06-14,153.97,154.9399,152.94,153.81,3049524.0,0.0,1.0,153.97,154.9399,152.94,153.81,3049524.0
2017-06-15,153.29,154.69,153.29,154.22,4654297.0,0.0,1.0,153.29,154.69,153.29,154.22,4654297.0
2017-06-16,154.23,155.42,152.9676,155.38,6741963.0,0.0,1.0,154.23,155.42,152.9676,155.38,6741963.0
2017-06-19,155.51,155.86,154.54,154.84,4629492.0,0.0,1.0,155.51,155.86,154.54,154.84,4629492.0
2017-06-20,154.48,155.389,154.25,154.95,4481843.0,0.0,1.0,154.48,155.389,154.25,154.95,4481843.0
2017-06-21,155.79,155.79,153.39,153.79,3959668.0,0.0,1.0,155.79,155.79,153.39,153.79,3959668.0
2017-06-22,154.55,154.99,153.69,154.4,2376819.0,0.0,1.0,154.55,154.99,153.69,154.4,2376819.0
2017-06-23,154.34,154.68,153.8,154.11,3282205.0,0.0,1.0,154.34,154.68,153.8,154.11,3282205.0
2017-06-26,154.71,155.75,154.63,155.23,2153494.0,0.0,1.0,154.71,155.75,154.63,155.23,2153494.0
2017-06-27,155.0,155.34,154.5,154.75,2386491.0,0.0,1.0,155.0,155.34,154.5,154.75,2386491.0
2017-06-28,155.15,155.55,154.78,155.32,2217254.0,0.0,1.0,155.15,155.55,154.78,155.32,2217254.0
2017-06-29,155.35,155.74,153.62,154.13,3262159.0,0.0,1.0,155.35,155.74,153.62,154.13,3262159.0
2017-06-30,154.28,154.5,153.14,153.83,3571536.0,0.0,1.0,154.28,154.5,153.14,153.83,3571536.0
2017-07-03,153.58,156.025,153.52,155.58,2822499.0,0.0,1.0,153.58,156.025,153.52,155.58,2822499.0
2017-07-05,155.77,155.89,153.63,153.67,3564354.0,0.0,1.0,155.77,155.89,153.63,153.67,3564354.0
2017-07-06,153.36,153.83,152.23,152.36,2757522.0,0.0,1.0,153.36,153.83,152.23,152.36,2757522.0
2017-07-07,152.62,153.49,152.14,152.94,2460060.0,0.0,1.0,152.62,153.49,152.14,152.94,2460060.0
2017-07-10,152.91,153.89,152.63,153.42,3206209.0,0.0,1.0,152.91,153.89,152.63,153.42,3206209.0
2017-07-11,153.26,153.65,152.05,153.19,3447509.0,0.0,1.0,153.26,153.65,152.05,153.19,3447509.0
2017-07-12,153.48,154.24,153.05,153.7,3097850.0,0.0,1.0,153.48,154.24,153.05,153.7,3097850.0
2017-07-13,153.7,154.19,153.19,153.63,2476112.0,0.0,1.0,153.7,154.19,153.19,153.63,2476112.0
2017-07-14,154.01,154.615,153.4,154.24,3256198.0,0.0,1.0,154.01,154.615,153.4,154.24,3256198.0
2017-07-17,153.59,153.88,152.2399,153.01,4759840.0,0.0,1.0,153.59,153.88,152.2399,153.01,4759840.0
2017-07-18,152.36,154.29,152.0,154.0,7566818.0,0.0,1.0,152.36,154.29,152.0,154.0,7566818.0
