Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,89.85,90.0,87.61,87.74,11951322.0,0.0,1.0,89.85,90.0,87.61,87.74,11951322.0
2017-04-27,87.58,88.24,87.23,87.69,8517522.0,0.0,1.0,87.58,88.24,87.23,87.69,8517522.0
2017-04-28,87.52,87.59,87.15,87.33,8295445.0,0.0,1.0,87.52,87.59,87.15,87.33,8295445.0
2017-05-01,87.38,87.5967,87.08,87.09,4546624.0,0.0,1.0,87.38,87.5967,87.08,87.09,4546624.0
2017-05-02,87.29,87.29,86.02,86.22,13197492.0,0.0,1.0,87.29,87.29,86.02,86.22,13197492.0
2017-05-03,86.3,86.63,85.9,86.43,6120941.0,0.0,1.0,86.3,86.63,85.9,86.43,6120941.0
2017-05-04,86.85,87.24,86.3,86.45,5986188.0,0.0,1.0,86.85,87.24,86.3,86.45,5986188.0
2017-05-05,86.54,86.61,86.1335,86.5,4506197.0,0.0,1.0,86.54,86.61,86.1335,86.5,4506197.0
2017-05-08,86.33,86.62,86.24,86.55,4634623.0,0.0,1.0,86.33,86.62,86.24,86.55,4634623.0
2017-05-09,86.8,86.82,86.22,86.4,9577623.0,0.0,1.0,86.8,86.82,86.22,86.4,9577623.0
2017-05-10,86.48,86.79,86.385,86.49,6178549.0,0.0,1.0,86.48,86.79,86.385,86.49,6178549.0
2017-05-11,86.61,86.63,85.88,86.17,6064727.0,0.0,1.0,86.61,86.63,85.88,86.17,6064727.0
2017-05-12,86.24,86.32,85.915,86.19,5892430.0,0.0,1.0,86.24,86.32,85.915,86.19,5892430.0
2017-05-15,86.65,86.71,86.245,86.33,5787642.0,0.0,1.0,86.65,86.71,86.245,86.33,5787642.0
2017-05-16,86.88,87.0,86.19,86.24,6554454.0,0.0,1.0,86.88,87.0,86.19,86.24,6554454.0
2017-05-17,86.22,86.63,85.93,86.26,7805770.0,0.0,1.0,86.22,86.63,85.93,86.26,7805770.0
2017-05-18,86.18,86.22,85.52,85.87,6985567.0,0.0,1.0,86.18,86.22,85.52,85.87,6985567.0
2017-05-19,86.0,86.38,85.67,86.24,7320725.0,0.0,1.0,86.0,86.38,85.67,86.24,7320725.0
2017-05-22,86.25,86.4,86.03,86.21,4259951.0,0.0,1.0,86.25,86.4,86.03,86.21,4259951.0
2017-05-23,86.28,86.54,85.98,86.08,4394225.0,0.0,1.0,86.28,86.54,85.98,86.08,4394225.0
2017-05-24,86.45,86.65,86.21,86.5,4902470.0,0.0,1.0,86.45,86.65,86.21,86.5,4902470.0
2017-05-25,86.58,86.98,86.55,86.86,4367910.0,0.0,1.0,86.58,86.98,86.55,86.86,4367910.0
2017-05-26,86.93,87.38,86.816,87.25,4337023.0,0.0,1.0,86.93,87.38,86.816,87.25,4337023.0
2017-05-30,87.25,87.61,87.095,87.4,4594514.0,0.0,1.0,87.25,87.61,87.095,87.4,4594514.0
2017-05-31,87.67,88.35,87.45,88.09,10146610.0,0.0,1.0,87.67,88.35,87.45,88.09,10146610.0
2017-06-01,88.02,88.14,87.37,88.13,6251292.0,0.0,1.0,88.02,88.14,87.37,88.13,6251292.0
2017-06-02,88.4,88.675,88.005,88.59,6136425.0,0.0,1.0,88.4,88.675,88.005,88.59,6136425.0
2017-06-05,88.3,88.76,88.0,88.74,4115288.0,0.0,1.0,88.3,88.76,88.0,88.74,4115288.0
2017-06-06,88.76,88.97,88.45,88.8,6503039.0,0.0,1.0,88.76,88.97,88.45,88.8,6503039.0
2017-06-07,88.68,88.8931,88.4,88.77,4781587.0,0.0,1.0,88.68,88.8931,88.4,88.77,4781587.0
2017-06-08,88.58,88.8,87.36,87.85,7712062.0,0.0,1.0,88.58,88.8,87.36,87.85,7712062.0
