Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,75.27,75.7663,75.17,75.43,6948460.0,0.0,1.0,74.7728144022795,75.26583616111903,74.67347493847947,74.93175754435954,6948460.0
2017-04-27,75.54,75.7,75.02,75.44,6052219.0,0.0,1.0,75.04103095453956,75.19997409661961,74.52446574277943,74.94169149073953,6052219.0
2017-04-28,75.24,75.44,74.93,75.18,7330420.0,0.0,1.0,74.74301256313947,74.94169149073953,74.43506022535941,74.68340888485947,7330420.0
2017-05-01,75.09,75.715,75.09,75.23,6165912.0,0.0,1.0,74.59400336743944,75.21487501618961,74.59400336743944,74.73307861675949,6165912.0
2017-05-02,75.3,75.71,75.25,75.52,7318362.0,0.0,1.0,74.8026162414195,75.2099080429996,74.75294650951949,75.02116306177955,7318362.0
2017-05-03,75.4,75.88,75.1775,75.76,5523624.0,0.0,1.0,74.90195570521954,75.37878513145965,74.68092539826446,75.25957777489963,5523624.0
2017-05-04,75.93,76.395,75.83,76.34,5500802.0,0.0,1.0,75.42845486335968,75.89038337002978,75.32911539955964,75.83574666493978,5500802.0
2017-05-05,76.42,76.6043,76.18,76.5,5597759.0,0.0,1.0,75.9152182359798,76.09830086776323,75.67680352285973,75.99468980701981,5597759.0
2017-05-08,76.5,76.52,76.07,76.12,6512180.0,0.0,1.0,75.99468980701981,76.01455769977981,75.56753011267969,75.61719984457972,6512180.0
2017-05-09,76.44,77.05,76.33,76.72,8255282.0,0.0,1.0,75.9350861287398,76.54105685791995,75.82581271855976,76.21323662737987,8255282.0
2017-05-10,76.33,76.78,76.1902,76.7,7511921.0,0.51,1.0,76.33,76.78,76.1902,76.7,7511921.0
2017-05-11,76.35,76.72,75.925,76.13,8349403.0,0.0,1.0,76.35,76.72,75.925,76.13,8349403.0
2017-05-12,75.95,76.25,75.37,75.71,5892910.0,0.0,1.0,75.95,76.25,75.37,75.71,5892910.0
2017-05-15,75.8,76.47,75.8,76.29,8823755.0,0.0,1.0,75.8,76.47,75.8,76.29,8823755.0
2017-05-16,76.19,76.27,75.08,75.11,8371802.0,0.0,1.0,76.19,76.27,75.08,75.11,8371802.0
2017-05-17,75.05,75.73,74.96,75.12,10970970.0,0.0,1.0,75.05,75.73,74.96,75.12,10970970.0
2017-05-18,76.89,77.66,76.13,77.54,19166801.0,0.0,1.0,76.89,77.66,76.13,77.54,19166801.0
2017-05-19,77.97,79.44,77.77,78.77,18581717.0,0.0,1.0,77.97,79.44,77.77,78.77,18581717.0
2017-05-22,78.65,79.0,78.295,78.55,8894596.0,0.0,1.0,78.65,79.0,78.295,78.55,8894596.0
2017-05-23,78.58,78.97,78.44,78.49,7584938.0,0.0,1.0,78.58,78.97,78.44,78.49,7584938.0
2017-05-24,78.56,78.6053,78.14,78.15,7502759.0,0.0,1.0,78.56,78.6053,78.14,78.15,7502759.0
2017-05-25,78.36,78.85,78.15,78.31,6134952.0,0.0,1.0,78.36,78.85,78.15,78.31,6134952.0
2017-05-26,78.37,78.5399,77.79,78.13,6125781.0,0.0,1.0,78.37,78.5399,77.79,78.13,6125781.0
2017-05-30,78.0,78.4,77.93,78.15,5410351.0,0.0,1.0,78.0,78.4,77.93,78.15,5410351.0
2017-05-31,78.35,78.92,78.22,78.6,8201738.0,0.0,1.0,78.35,78.92,78.22,78.6,8201738.0
2017-06-01,78.64,79.81,78.6,79.81,8152334.0,0.0,1.0,78.64,79.81,78.6,79.81,8152334.0
2017-06-02,79.8,79.93,79.22,79.62,7996276.0,0.0,1.0,79.8,79.93,79.22,79.62,7996276.0
2017-06-05,79.6,80.475,79.48,80.26,10145727.0,0.0,1.0,79.6,80.475,79.48,80.26,10145727.0
2017-06-06,79.43,79.56,78.26,78.93,11525875.0,0.0,1.0,79.43,79.56,78.26,78.93,11525875.0
2017-06-07,79.08,79.5,78.733,79.15,8511339.0,0.0,1.0,79.08,79.5,78.733,79.15,8511339.0
2017-06-08,79.58,80.13,78.23,78.93,10933040.0,0.0,1.0,79.58,80.13,78.23,78.93,10933040.0
2017-06-09,79.03,79.56,78.72,79.42,9405124.0,0.0,1.0,79.03,79.56,78.72,79.42,9405124.0
2017-06-12,79.4,80.37,78.84,79.24,10410562.0,0.0,1.0,79.4,80.37,78.84,79.24,10410562.0
2017-06-13,79.21,79.57,78.89,79.52,5528030.0,0.0,1.0,79.21,79.57,78.89,79.52,5528030.0
2017-06-14,79.52,80.035,79.26,79.9,5006516.0,0.0,1.0,79.52,80.035,79.26,79.9,5006516.0
2017-06-15,79.18,79.3,77.76,78.91,11297169.0,0.0,1.0,79.18,79.3,77.76,78.91,11297169.0
2017-06-16,73.95,75.5,73.29,75.24,56233027.0,0.0,1.0,73.95,75.5,73.29,75.24,56233027.0
2017-06-19,75.38,76.01,74.52,75.5,16092987.0,0.0,1.0,75.38,76.01,74.52,75.5,16092987.0
2017-06-20,75.88,75.92,75.32,75.54,10019248.0,0.0,1.0,75.88,75.92,75.32,75.54,10019248.0
2017-06-21,75.6,76.605,75.58,76.24,9011423.0,0.0,1.0,75.6,76.605,75.58,76.24,9011423.0
2017-06-22,76.03,76.06,75.3,75.52,8111282.0,0.0,1.0,76.03,76.06,75.3,75.52,8111282.0
