Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,144.47,144.6,143.3762,143.68,20041241.0,0.0,1.0,143.88120390736188,144.01067408461637,142.79186175443138,143.09442359943074,20041241.0
2017-04-27,143.9225,144.16,143.31,143.79,14246347.0,0.0,1.0,143.3359352762324,143.57246733083193,142.72593155647562,143.20397528787683,14246347.0
2017-04-28,144.09,144.3,143.27,143.65,20860358.0,0.0,1.0,143.5027526200026,143.71189675249065,142.68609457885887,143.06454586621814,20860358.0
2017-05-01,145.1,147.2,144.96,146.58,33602943.0,0.0,1.0,144.50863630482598,146.6000776297063,144.36920688316732,145.98260447664643,33602943.0
2017-05-02,147.54,148.09,146.84,147.51,45352194.0,0.0,1.0,146.93869193944883,147.4864503816794,146.2415448311554,146.90881420623626,45352194.0
2017-05-03,145.59,147.49,144.27,147.06,45697034.0,0.0,1.0,144.9966392806314,146.88889571742789,143.68201901927807,146.46064820804762,45697034.0
2017-05-04,146.52,147.14,145.81,146.53,23371872.0,0.0,1.0,145.92284901022126,146.54032216328113,145.21574265752363,145.93280825462546,23371872.0
2017-05-05,146.76,148.98,146.76,148.96,27327725.0,0.0,1.0,146.16187087592186,148.37282313365247,146.16187087592186,148.3529046448441,27327725.0
2017-05-08,149.03,153.7,149.03,153.01,48752413.0,0.0,1.0,148.42261935567345,153.0735864924311,148.42261935567345,152.38639862854185,48752413.0
2017-05-09,153.87,154.88,153.45,153.99,39130363.0,0.0,1.0,153.2428936473024,154.24877733212577,152.8246053823263,153.36240458015268,39130363.0
2017-05-10,153.63,153.94,152.11,153.26,25805692.0,0.0,1.0,153.00387178160176,153.3126083581317,151.4900666321646,152.63537973864666,25805692.0
2017-05-11,152.45,154.07,152.31,153.95,27255058.0,0.63,1.0,152.45,154.07,152.31,153.95,27255058.0
2017-05-12,154.7,156.42,154.67,156.1,32527017.0,0.0,1.0,154.7,156.42,154.67,156.1,32527017.0
2017-05-15,156.01,156.65,155.05,155.7,26009719.0,0.0,1.0,156.01,156.65,155.05,155.7,26009719.0
2017-05-16,155.94,156.06,154.72,155.47,20048478.0,0.0,1.0,155.94,156.06,154.72,155.47,20048478.0
2017-05-17,153.6,154.57,149.71,150.25,50767678.0,0.0,1.0,153.6,154.57,149.71,150.25,50767678.0
2017-05-18,151.27,153.34,151.13,152.54,33568215.0,0.0,1.0,151.27,153.34,151.13,152.54,33568215.0
2017-05-19,153.38,153.98,152.63,153.06,26960788.0,0.0,1.0,153.38,153.98,152.63,153.06,26960788.0
2017-05-22,154.0,154.58,152.91,153.99,22966437.0,0.0,1.0,154.0,154.58,152.91,153.99,22966437.0
2017-05-23,154.9,154.9,153.31,153.8,19918871.0,0.0,1.0,154.9,154.9,153.31,153.8,19918871.0
2017-05-24,153.84,154.17,152.67,153.34,19219154.0,0.0,1.0,153.84,154.17,152.67,153.34,19219154.0
2017-05-25,153.73,154.35,153.03,153.87,19235598.0,0.0,1.0,153.73,154.35,153.03,153.87,19235598.0
2017-05-26,154.0,154.24,153.31,153.61,21927637.0,0.0,1.0,154.0,154.24,153.31,153.61,21927637.0
2017-05-30,153.42,154.43,153.33,153.67,20126851.0,0.0,1.0,153.42,154.43,153.33,153.67,20126851.0
2017-05-31,153.97,154.17,152.38,152.76,24451164.0,0.0,1.0,153.97,154.17,152.38,152.76,24451164.0
2017-06-01,153.17,153.33,152.22,153.18,16404088.0,0.0,1.0,153.17,153.33,152.22,153.18,16404088.0
2017-06-02,153.58,155.45,152.89,155.45,27770715.0,0.0,1.0,153.58,155.45,152.89,155.45,27770715.0
2017-06-05,154.34,154.45,153.46,153.93,25331662.0,0.0,1.0,154.34,154.45,153.46,153.93,25331662.0
2017-06-06,153.9,155.81,153.78,154.45,26624926.0,0.0,1.0,153.9,155.81,153.78,154.45,26624926.0
2017-06-07,155.02,155.98,154.48,155.37,21069647.0,0.0,1.0,155.02,155.98,154.48,155.37,21069647.0
2017-06-08,155.25,155.54,154.4,154.99,21250798.0,0.0,1.0,155.25,155.54,154.4,154.99,21250798.0
2017-06-09,155.19,155.19,146.02,148.98,64882657.0,0.0,1.0,155.19,155.19,146.02,148.98,64882657.0
2017-06-12,145.74,146.09,142.51,145.42,72307330.0,0.0,1.0,145.74,146.09,142.51,145.42,72307330.0
2017-06-13,147.16,147.45,145.15,146.59,34165445.0,0.0,1.0,147.16,147.45,145.15,146.59,34165445.0
2017-06-14,147.5,147.5,143.84,145.16,31531232.0,0.0,1.0,147.5,147.5,143.84,145.16,31531232.0
2017-06-15,143.32,144.4798,142.21,144.29,32165373.0,0.0,1.0,143.32,144.4798,142.21,144.29,32165373.0
2017-06-16,143.78,144.5,142.2,142.27,50361093.0,0.0,1.0,143.78,144.5,142.2,142.27,50361093.0
2017-06-19,143.66,146.74,143.66,146.34,32541404.0,0.0,1.0,143.66,146.74,143.66,146.34,32541404.0
2017-06-20,146.87,146.87,144.94,145.01,24900073.0,0.0,1.0,146.87,146.87,144.94,145.01,24900073.0
2017-06-21,145.52,146.0693,144.61,145.87,21265751.0,0.0,1.0,145.52,146.0693,144.61,145.87,21265751.0
2017-06-22,145.77,146.7,145.1199,145.63,19106294.0,0.0,1.0,145.77,146.7,145.1199,145.63,19106294.0
2017-06-23,145.13,147.16,145.11,146.28,35439389.0,0.0,1.0,145.13,147.16,145.11,146.28,35439389.0
2017-06-26,147.17,148.28,145.38,145.82,25692361.0,0.0,1.0,147.17,148.28,145.38,145.82,25692361.0
