Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,36.78,37.23,36.78,36.93,27240993.0,0.0,1.0,36.51095631165693,36.957664586269374,36.51095631165693,36.659859069861085,27240993.0
2017-04-27,36.87,37.5,36.78,37.43,39889967.0,0.0,1.0,36.60029796657942,37.225689551036844,36.51095631165693,37.15620159720824,39889967.0
2017-04-28,36.1,36.485,35.88,36.15,56769258.0,0.0,1.0,35.8359304744648,36.21811422052211,35.61753976243205,35.885564727199515,56769258.0
2017-05-01,36.11,36.4,35.94,36.31,24825614.0,0.0,1.0,35.84585732501174,36.13373599087309,35.677100865713705,36.04439433595061,24825614.0
2017-05-02,36.37,37.03,36.35,36.97,35813021.0,0.0,1.0,36.103955439232266,36.75912757533052,36.08410173813838,36.69956647204885,35813021.0
2017-05-03,36.72,37.17,36.62,36.98,22040256.0,0.2725,1.0,36.72,37.17,36.62,36.98,22040256.0
2017-05-04,36.99,37.11,36.64,36.85,16437088.0,0.0,1.0,36.99,37.11,36.64,36.85,16437088.0
2017-05-05,36.86,36.93,36.5,36.82,18119243.0,0.0,1.0,36.86,36.93,36.5,36.82,18119243.0
2017-05-08,36.73,36.85,36.48,36.54,17660214.0,0.0,1.0,36.73,36.85,36.48,36.54,17660214.0
2017-05-09,36.48,36.75,36.28,36.37,17819144.0,0.0,1.0,36.48,36.75,36.28,36.37,17819144.0
2017-05-10,36.27,36.38,35.93,36.01,25133822.0,0.0,1.0,36.27,36.38,35.93,36.01,25133822.0
2017-05-11,35.91,36.0,35.4543,35.69,21508923.0,0.0,1.0,35.91,36.0,35.4543,35.69,21508923.0
2017-05-12,35.72,35.74,35.4,35.53,19730842.0,0.0,1.0,35.72,35.74,35.4,35.53,19730842.0
2017-05-15,35.535,35.715,35.42,35.63,22120137.0,0.0,1.0,35.535,35.715,35.42,35.63,22120137.0
2017-05-16,35.75,35.89,35.42,35.82,22291843.0,0.0,1.0,35.75,35.89,35.42,35.82,22291843.0
2017-05-17,35.67,35.9896,35.02,35.04,26670188.0,0.0,1.0,35.67,35.9896,35.02,35.04,26670188.0
2017-05-18,35.19,35.47,35.08,35.22,17171872.0,0.0,1.0,35.19,35.47,35.08,35.22,17171872.0
2017-05-19,35.15,35.55,35.13,35.4,18340127.0,0.0,1.0,35.15,35.55,35.13,35.4,18340127.0
2017-05-22,35.48,36.11,35.38,35.77,14638066.0,0.0,1.0,35.48,36.11,35.38,35.77,14638066.0
2017-05-23,35.87,35.99,35.56,35.86,16903704.0,0.0,1.0,35.87,35.99,35.56,35.86,16903704.0
2017-05-24,35.98,36.18,35.89,36.12,20860257.0,0.0,1.0,35.98,36.18,35.89,36.12,20860257.0
2017-05-25,36.12,36.39,36.06,36.26,13148542.0,0.0,1.0,36.12,36.39,36.06,36.26,13148542.0
2017-05-26,36.26,36.33,36.13,36.26,11145523.0,0.0,1.0,36.26,36.33,36.13,36.26,11145523.0
2017-05-30,36.27,36.44,36.09,36.18,13026915.0,0.0,1.0,36.27,36.44,36.09,36.18,13026915.0
2017-05-31,36.31,36.38,35.87,36.11,17741896.0,0.0,1.0,36.31,36.38,35.87,36.11,17741896.0
2017-06-01,36.12,36.13,35.8,36.12,17510915.0,0.0,1.0,36.12,36.13,35.8,36.12,17510915.0
2017-06-02,36.27,36.33,36.0,36.32,19127420.0,0.0,1.0,36.27,36.33,36.0,36.32,19127420.0
2017-06-05,36.3,36.5,36.2,36.34,11685699.0,0.0,1.0,36.3,36.5,36.2,36.34,11685699.0
2017-06-06,36.16,36.45,35.98,36.13,18420926.0,0.0,1.0,36.16,36.45,35.98,36.13,18420926.0
2017-06-07,36.13,36.57,36.1,36.26,17191983.0,0.0,1.0,36.13,36.57,36.1,36.26,17191983.0
2017-06-08,36.34,36.53,36.16,36.48,17154167.0,0.0,1.0,36.34,36.53,36.16,36.48,17154167.0
2017-06-09,36.5,36.56,35.31,35.71,33322053.0,0.0,1.0,36.5,36.56,35.31,35.71,33322053.0
2017-06-12,35.59,36.01,35.41,35.73,28488290.0,0.0,1.0,35.59,36.01,35.41,35.73,28488290.0
2017-06-13,35.68,35.95,35.53,35.88,20588247.0,0.0,1.0,35.68,35.95,35.53,35.88,20588247.0
2017-06-14,35.99,36.05,35.22,35.53,19149017.0,0.0,1.0,35.99,36.05,35.22,35.53,19149017.0
2017-06-15,35.21,35.48,35.14,35.31,20410009.0,0.0,1.0,35.21,35.48,35.14,35.31,20410009.0
2017-06-16,35.28,35.33,35.01,35.21,30762781.0,0.0,1.0,35.28,35.33,35.01,35.21,30762781.0
2017-06-19,35.61,35.61,35.32,35.51,21583752.0,0.0,1.0,35.61,35.61,35.32,35.51,21583752.0
2017-06-20,35.45,35.45,34.84,34.86,21536505.0,0.0,1.0,35.45,35.45,34.84,34.86,21536505.0
2017-06-21,34.33,34.6,34.09,34.58,27138493.0,0.0,1.0,34.33,34.6,34.09,34.58,27138493.0
2017-06-22,34.56,34.63,34.29,34.36,24602910.0,0.0,1.0,34.56,34.63,34.29,34.36,24602910.0
2017-06-23,34.21,34.55,34.095,34.19,29260888.0,0.0,1.0,34.21,34.55,34.095,34.19,29260888.0
2017-06-26,34.26,34.51,34.03,34.07,18854766.0,0.0,1.0,34.26,34.51,34.03,34.07,18854766.0
2017-06-27,34.0,34.145,33.65,33.65,27078918.0,0.0,1.0,34.0,34.145,33.65,33.65,27078918.0
2017-06-28,33.77,34.24,33.74,34.2,25940057.0,0.0,1.0,33.77,34.24,33.74,34.2,25940057.0
2017-06-29,33.92,34.1,33.34,33.54,25215664.0,0.0,1.0,33.92,34.1,33.34,33.54,25215664.0
2017-06-30,33.87,33.93,33.535,33.74,24432020.0,0.0,1.0,33.87,33.93,33.535,33.74,24432020.0
2017-07-03,33.51,34.03,33.43,33.46,12676069.0,0.0,1.0,33.51,34.03,33.43,33.46,12676069.0
2017-07-05,33.52,34.43,33.485,34.34,30010803.0,0.0,1.0,33.52,34.43,33.485,34.34,30010803.0
2017-07-06,34.12,34.29,33.56,33.63,20733189.0,0.0,1.0,34.12,34.29,33.56,33.63,20733189.0
2017-07-07,33.7,34.12,33.7,33.88,18304460.0,0.0,1.0,33.7,34.12,33.7,33.88,18304460.0
2017-07-10,33.25,33.74,33.23,33.65,29918436.0,0.0,1.0,33.25,33.74,33.23,33.65,29918436.0
2017-07-11,33.64,33.93,33.4311,33.92,25737540.0,0.0,1.0,33.64,33.93,33.4311,33.92,25737540.0
2017-07-12,34.28,34.39,33.94,34.25,23768337.0,0.0,1.0,34.28,34.39,33.94,34.25,23768337.0
2017-07-13,34.33,34.4,34.12,34.24,15046199.0,0.0,1.0,34.33,34.4,34.12,34.24,15046199.0
2017-07-14,34.48,34.71,34.265,34.68,16316353.0,0.0,1.0,34.48,34.71,34.265,34.68,16316353.0
2017-07-17,34.74,34.74,34.36,34.47,21044407.0,0.0,1.0,34.74,34.74,34.36,34.47,21044407.0
2017-07-18,34.43,34.58,34.25,34.53,14362830.0,0.0,1.0,34.43,34.58,34.25,34.53,14362830.0
