Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,195.7,196.9,194.99,195.0,2641226.0,0.0,1.0,194.5268882483483,195.71969492130705,193.82114430018112,193.8310843557891,2641226.0
2017-04-27,195.43,196.54,195.11,196.11,1770896.0,0.0,1.0,194.25850674693262,195.36185291941942,193.94042496747699,194.9344305282759,1770896.0
2017-04-28,196.15,197.12,195.54,195.83,2467076.0,0.0,1.0,194.97419075070786,195.93837614468282,194.3678473586205,194.65610897125222,2467076.0
2017-05-01,195.5,195.73,194.471,194.81,1498630.0,0.0,1.0,194.32808713618854,194.5567084151723,193.30525541412646,193.64222329923732,1498630.0
2017-05-02,195.16,196.53,194.58,196.53,2467164.0,0.0,1.0,193.9901252455169,195.35191286381144,193.41360202025356,195.35191286381144,2467164.0
2017-05-03,196.6,197.87,195.71,197.63,2339647.0,0.0,1.0,195.42149325306735,196.683880315282,194.53682830395633,196.44531898069025,2339647.0
2017-05-04,198.3,199.54,197.76,199.51,2321297.0,0.0,1.0,197.11130270642553,198.34386960181618,196.5745397035941,198.3140494349922,2321297.0
2017-05-05,199.67,199.9,198.98,199.4,1688558.0,0.0,1.0,198.47309032472003,198.7017116037038,197.78722648776878,198.20470882330434,1688558.0
2017-05-08,198.84,199.15,198.3,198.65,1576134.0,0.0,1.0,197.64806570925694,197.95620743310462,197.11130270642553,197.45920465270515,1576134.0
2017-05-09,199.36,199.36,197.53,197.96,1747761.0,0.0,1.0,198.1649486008724,198.1649486008724,196.34591842461037,196.7733408157539,1747761.0
2017-05-10,197.37,197.59,196.53,196.64,2248260.0,0.0,1.0,196.18687753488254,196.4055587582583,195.35191286381144,195.46125347549932,2248260.0
2017-05-11,196.04,196.94,195.26,196.75,1704992.0,0.0,1.0,194.86485013901995,195.759455143739,194.0895258015968,195.5705940871872,1704992.0
2017-05-12,195.9,197.12,195.86,196.57,1323128.0,0.0,1.0,194.72568936050814,195.93837614468282,194.68592913807618,195.3916730862434,1323128.0
2017-05-15,196.67,197.74,196.23,197.63,1466690.0,0.0,1.0,195.49107364232327,196.55465959237813,195.05371119557176,196.44531898069025,1466690.0
2017-05-16,197.48,197.94,196.86,197.91,1183560.0,0.0,1.0,196.2962181465704,196.7534607045379,195.6799346988751,196.72364053771395,1183560.0
2017-05-17,195.39,195.91,194.72,194.84,1881826.0,1.175,1.0,195.39,195.91,194.72,194.84,1881826.0
2017-05-18,194.5,195.82,193.54,195.24,1928994.0,0.0,1.0,194.5,195.82,193.54,195.24,1928994.0
2017-05-19,196.3,196.3,194.45,195.8,1894690.0,0.0,1.0,196.3,196.3,194.45,195.8,1894690.0
2017-05-22,196.35,198.672,196.35,198.51,1836024.0,0.0,1.0,196.35,198.672,196.35,198.51,1836024.0
2017-05-23,198.73,198.97,197.52,197.73,1514199.0,0.0,1.0,198.73,198.97,197.52,197.73,1514199.0
2017-05-24,198.49,198.53,197.28,197.49,1291463.0,0.0,1.0,198.49,198.53,197.28,197.49,1291463.0
2017-05-25,198.41,199.61,197.75,199.54,1508025.0,0.0,1.0,198.41,199.61,197.75,199.54,1508025.0
2017-05-26,199.14,200.69,198.9722,200.67,1410620.0,0.0,1.0,199.14,200.69,198.9722,200.67,1410620.0
2017-05-30,200.31,203.03,199.96,202.44,2171094.0,0.0,1.0,200.31,203.03,199.96,202.44,2171094.0
2017-05-31,202.73,204.47,202.27,204.47,3096767.0,0.0,1.0,202.73,204.47,202.27,204.47,3096767.0
2017-06-01,204.25,204.9,203.68,204.35,2352733.0,0.0,1.0,204.25,204.9,203.68,204.35,2352733.0
2017-06-02,205.06,207.39,204.79,206.7,1831928.0,0.0,1.0,205.06,207.39,204.79,206.7,1831928.0
2017-06-05,206.77,207.33,206.22,206.22,1253148.0,0.0,1.0,206.77,207.33,206.22,206.22,1253148.0
2017-06-06,206.01,206.66,205.41,205.41,1458772.0,0.0,1.0,206.01,206.66,205.41,205.41,1458772.0
2017-06-07,205.73,205.87,204.1,205.01,1885635.0,0.0,1.0,205.73,205.87,204.1,205.01,1885635.0
2017-06-08,204.84,206.03,204.09,205.94,2451348.0,0.0,1.0,204.84,206.03,204.09,205.94,2451348.0
2017-06-09,206.0,206.97,205.64,206.93,1893492.0,0.0,1.0,206.0,206.97,205.64,206.93,1893492.0
2017-06-12,207.06,208.42,205.5,207.39,2388199.0,0.0,1.0,207.06,208.42,205.5,207.39,2388199.0
2017-06-13,207.58,209.665,207.559,209.11,1688785.0,0.0,1.0,207.58,209.665,207.559,209.11,1688785.0
2017-06-14,209.78,210.785,209.53,210.01,1585193.0,0.0,1.0,209.78,210.785,209.53,210.01,1585193.0
2017-06-15,209.5,211.32,209.44,211.29,1594060.0,0.0,1.0,209.5,211.32,209.44,211.29,1594060.0
2017-06-16,211.73,213.46,211.44,213.24,3420608.0,0.0,1.0,211.73,213.46,211.44,213.24,3420608.0
2017-06-19,214.0,214.0,212.7,213.36,1667639.0,0.0,1.0,214.0,214.0,212.7,213.36,1667639.0
2017-06-20,213.45,214.57,213.05,213.36,1531242.0,0.0,1.0,213.45,214.57,213.05,213.36,1531242.0
2017-06-21,214.02,214.02,212.09,212.86,1812903.0,0.0,1.0,214.02,214.02,212.09,212.86,1812903.0
2017-06-22,212.73,213.12,212.09,212.22,1400401.0,0.0,1.0,212.73,213.12,212.09,212.22,1400401.0
2017-06-23,212.0,213.17,211.71,212.9,1584876.0,0.0,1.0,212.0,213.17,211.71,212.9,1584876.0
2017-06-26,212.79,213.47,212.31,212.61,1352092.0,0.0,1.0,212.79,213.47,212.31,212.61,1352092.0
2017-06-27,212.0,212.5,209.38,209.78,2240166.0,0.0,1.0,212.0,212.5,209.38,209.78,2240166.0
2017-06-28,210.78,211.175,210.09,210.62,1542943.0,0.0,1.0,210.78,211.175,210.09,210.62,1542943.0
2017-06-29,211.05,211.05,207.08,207.85,1809919.0,0.0,1.0,211.05,211.05,207.08,207.85,1809919.0
2017-06-30,209.91,209.91,207.85,208.19,1769958.0,0.0,1.0,209.91,209.91,207.85,208.19,1769958.0
2017-07-03,209.14,210.34,208.75,209.83,1040234.0,0.0,1.0,209.14,210.34,208.75,209.83,1040234.0
2017-07-05,210.0,210.24,209.41,209.76,1065328.0,0.0,1.0,210.0,210.24,209.41,209.76,1065328.0
2017-07-06,209.05,209.72,207.89,208.02,1189853.0,0.0,1.0,209.05,209.72,207.89,208.02,1189853.0
2017-07-07,208.5,210.15,208.045,209.59,1531004.0,0.0,1.0,208.5,210.15,208.045,209.59,1531004.0
2017-07-10,209.6,211.74,208.99,210.49,1308603.0,0.0,1.0,209.6,211.74,208.99,210.49,1308603.0
2017-07-11,210.41,211.2,208.0,209.66,1268059.0,0.0,1.0,210.41,211.2,208.0,209.66,1268059.0
2017-07-12,210.91,212.78,210.27,211.3,1447890.0,0.0,1.0,210.91,212.78,210.27,211.3,1447890.0
2017-07-13,211.2,212.0,210.18,211.09,1138838.0,0.0,1.0,211.2,212.0,210.18,211.09,1138838.0
