Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,68.08,68.31,67.62,67.83,26190770.0,0.0,1.0,67.69961031518625,67.92832521489971,67.24218051575932,67.45100716332378,26190770.0
2017-04-27,68.15,68.38,67.58,68.27,34970953.0,0.0,1.0,67.76921919770774,67.9979340974212,67.20240401146131,67.88854871060171,34970953.0
2017-04-28,68.91,69.14,67.69,68.46,39548818.0,0.0,1.0,68.52497277936962,68.7536876790831,67.3117893982808,68.07748710601719,39548818.0
2017-05-01,68.68,69.55,68.5,69.41,31954362.0,0.0,1.0,68.29625787965617,69.16139684813753,68.11726361031519,69.02217908309456,31954362.0
2017-05-02,69.71,69.71,69.13,69.3,23906119.0,0.0,1.0,69.3205028653295,69.3205028653295,68.74374355300858,68.91279369627507,23906119.0
2017-05-03,69.38,69.38,68.71,69.08,28927973.0,0.0,1.0,68.99234670487105,68.99234670487105,68.32609025787964,68.6940229226361,28927973.0
2017-05-04,69.03,69.08,68.64,68.81,21749409.0,0.0,1.0,68.6443022922636,68.6940229226361,68.25648137535816,68.42553151862464,21749409.0
2017-05-05,68.9,69.03,68.485,69.0,19128782.0,0.0,1.0,68.51502865329513,68.6443022922636,68.10234742120343,68.61446991404011,19128782.0
2017-05-08,68.97,69.05,68.42,68.94,18566087.0,0.0,1.0,68.58463753581661,68.6641905444126,68.0377106017192,68.55480515759312,18566087.0
2017-05-09,68.86,69.28,68.68,69.04,22858414.0,0.0,1.0,68.47525214899713,68.89290544412607,68.29625787965617,68.65424641833812,22858414.0
2017-05-10,68.99,69.56,68.92,69.31,17977830.0,0.0,1.0,68.60452578796561,69.17134097421203,68.53491690544412,68.92273782234957,17977830.0
2017-05-11,68.36,68.73,68.12,68.46,28789413.0,0.0,1.0,67.9780458452722,68.34597851002866,67.73938681948424,68.07748710601719,28789413.0
2017-05-12,68.61,68.61,68.04,68.38,18714123.0,0.0,1.0,68.22664899713467,68.22664899713467,67.65983381088826,67.9979340974212,18714123.0
2017-05-15,68.14,68.48,67.57,68.43,31530301.0,0.0,1.0,67.75927507163324,68.09737535816619,67.19245988538681,68.0476547277937,31530301.0
2017-05-16,68.23,69.44,68.16,69.41,34956038.0,0.39,1.0,68.23,69.44,68.16,69.41,34956038.0
2017-05-17,68.89,69.1,67.43,67.48,30548781.0,0.0,1.0,68.89,69.1,67.43,67.48,30548781.0
2017-05-18,67.4,68.13,67.14,67.71,25201274.0,0.0,1.0,67.4,68.13,67.14,67.71,25201274.0
2017-05-19,67.5,68.095,67.43,67.69,26961119.0,0.0,1.0,67.5,68.095,67.43,67.69,26961119.0
2017-05-22,67.89,68.5,67.5,68.45,16237550.0,0.0,1.0,67.89,68.5,67.5,68.45,16237550.0
2017-05-23,68.72,68.75,68.38,68.68,15425824.0,0.0,1.0,68.72,68.75,68.38,68.68,15425824.0
2017-05-24,68.87,68.88,68.45,68.77,14666865.0,0.0,1.0,68.87,68.88,68.45,68.77,14666865.0
2017-05-25,68.97,69.88,68.91,69.62,21854095.0,0.0,1.0,68.97,69.88,68.91,69.62,21854095.0
2017-05-26,69.8,70.22,69.52,69.96,19827923.0,0.0,1.0,69.8,70.22,69.52,69.96,19827923.0
2017-05-30,69.79,70.41,69.77,70.41,17072838.0,0.0,1.0,69.79,70.41,69.77,70.41,17072838.0
2017-05-31,70.53,70.74,69.81,69.84,30436364.0,0.0,1.0,70.53,70.74,69.81,69.84,30436364.0
2017-06-01,70.24,70.61,69.451,70.1,21603601.0,0.0,1.0,70.24,70.61,69.451,70.1,21603601.0
2017-06-02,70.44,71.86,70.24,71.76,34770261.0,0.0,1.0,70.44,71.86,70.24,71.76,34770261.0
2017-06-05,71.97,72.89,71.81,72.28,33316760.0,0.0,1.0,71.97,72.89,71.81,72.28,33316760.0
2017-06-06,72.3,72.62,72.27,72.52,31511065.0,0.0,1.0,72.3,72.62,72.27,72.52,31511065.0
2017-06-07,72.635,72.77,71.95,72.39,22301765.0,0.0,1.0,72.635,72.77,71.95,72.39,22301765.0
2017-06-08,72.51,72.52,71.5,71.95,24588270.0,0.0,1.0,72.51,72.52,71.5,71.95,24588270.0
2017-06-09,72.035,72.08,68.59,70.32,49187396.0,0.0,1.0,72.035,72.08,68.59,70.32,49187396.0
2017-06-12,69.25,69.94,68.13,69.78,47761743.0,0.0,1.0,69.25,69.94,68.13,69.78,47761743.0
2017-06-13,70.02,70.82,69.96,70.65,25258614.0,0.0,1.0,70.02,70.82,69.96,70.65,25258614.0
2017-06-14,70.91,71.1,69.43,70.27,25510685.0,0.0,1.0,70.91,71.1,69.43,70.27,25510685.0
2017-06-15,69.27,70.21,68.8,69.9,26068709.0,0.0,1.0,69.27,70.21,68.8,69.9,26068709.0
2017-06-16,69.73,70.0252,69.22,70.0,48345085.0,0.0,1.0,69.73,70.0252,69.22,70.0,48345085.0
2017-06-19,70.5,70.945,70.35,70.87,23798268.0,0.0,1.0,70.5,70.945,70.35,70.87,23798268.0
2017-06-20,70.82,70.87,69.87,69.91,21512231.0,0.0,1.0,70.82,70.87,69.87,69.91,21512231.0
2017-06-21,70.21,70.62,69.94,70.27,19891051.0,0.0,1.0,70.21,70.62,69.94,70.27,19891051.0
2017-06-22,70.54,70.59,69.71,70.26,22965738.0,0.0,1.0,70.54,70.59,69.71,70.26,22965738.0
2017-06-23,70.09,71.25,69.92,71.21,27617291.0,0.0,1.0,70.09,71.25,69.92,71.21,27617291.0
2017-06-26,71.4,71.71,70.445,70.53,19606974.0,0.0,1.0,71.4,71.71,70.445,70.53,19606974.0
2017-06-27,70.11,70.18,69.18,69.21,25215128.0,0.0,1.0,70.11,70.18,69.18,69.21,25215128.0
2017-06-28,69.21,69.841,68.79,69.8,25806200.0,0.0,1.0,69.21,69.841,68.79,69.8,25806200.0
2017-06-29,69.38,69.49,68.09,68.49,28918715.0,0.0,1.0,69.38,69.49,68.09,68.49,28918715.0
2017-06-30,68.78,69.38,68.74,68.93,24161068.0,0.0,1.0,68.78,69.38,68.74,68.93,24161068.0
2017-07-03,69.33,69.6,68.02,68.17,16164331.0,0.0,1.0,69.33,69.6,68.02,68.17,16164331.0
2017-07-05,68.255,69.44,68.22,69.08,21176272.0,0.0,1.0,68.255,69.44,68.22,69.08,21176272.0
2017-07-06,68.27,68.78,68.12,68.57,21117572.0,0.0,1.0,68.27,68.78,68.12,68.57,21117572.0
2017-07-07,68.7,69.84,68.7,69.46,16878317.0,0.0,1.0,68.7,69.84,68.7,69.46,16878317.0
2017-07-10,69.46,70.25,69.2,69.98,15014503.0,0.0,1.0,69.46,70.25,69.2,69.98,15014503.0
2017-07-11,70.0,70.68,69.75,69.99,17460022.0,0.0,1.0,70.0,70.68,69.75,69.99,17460022.0
2017-07-12,70.69,71.28,70.55,71.15,17750925.0,0.0,1.0,70.69,71.28,70.55,71.15,17750925.0
2017-07-13,71.5,72.0399,71.31,71.77,20269816.0,0.0,1.0,71.5,72.0399,71.31,71.77,20269816.0
2017-07-14,72.24,73.27,71.96,72.78,25868086.0,0.0,1.0,72.24,73.27,71.96,72.78,25868086.0
2017-07-17,72.8,73.45,72.72,73.35,21803907.0,0.0,1.0,72.8,73.45,72.72,73.35,21803907.0
2017-07-18,73.09,73.39,72.66,73.3,26435296.0,0.0,1.0,73.09,73.39,72.66,73.3,26435296.0
