Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,92.02,92.48,91.75,91.82,11295240.0,0.0,1.0,91.85482948055478,92.31400380745173,91.58531411476747,91.65518846886047,11295240.0
2017-04-27,91.95,92.0,91.28,91.6,5856781.0,0.0,1.0,91.78495512646178,91.83486537938536,91.11615773728583,91.43558335599673,5856781.0
2017-04-28,91.39,91.55,90.98,91.22,6888471.0,0.0,1.0,91.2259602937177,91.38567310307315,90.81669621974436,91.05626543377753,6888471.0
2017-05-01,91.29,91.67,91.14,91.26,9042079.0,0.0,1.0,91.12613978787054,91.50545771008974,90.9764090290998,91.0961936361164,9042079.0
2017-05-02,91.62,92.75,91.53,92.54,11627705.0,0.0,1.0,91.45554745716616,92.58351917323905,91.36570900190372,92.37389611096002,11627705.0
2017-05-03,92.4,92.545,91.975,92.44,4908953.0,0.0,1.0,92.234147402774,92.37888713625237,91.80991025292357,92.27407560511286,4908953.0
2017-05-04,92.7,92.85,92.25,92.62,5257030.0,0.0,1.0,92.53360892031547,92.6833396790862,92.08441664400326,92.45375251563775,5257030.0
2017-05-05,92.9,92.98,91.76,92.09,8844524.0,0.0,1.0,92.73324993200978,92.81310633668751,91.5952961653522,91.92470383464781,8844524.0
2017-05-08,92.05,92.16,91.52,91.92,5223617.0,0.0,1.0,91.88477563230894,91.99457818874082,91.355726951319,91.75500897470764,5223617.0
2017-05-09,91.9,92.14,91.8343,92.0,3969471.0,0.0,1.0,91.73504487353821,91.97461408757138,91.66946280119662,91.83486537938536,3969471.0
2017-05-10,91.7,92.41,91.68,92.25,6747589.0,0.0,1.0,91.53540386184389,92.24412945335871,91.51543976067447,92.08441664400326,6747589.0
2017-05-11,92.12,92.31,91.62,92.1,7052203.0,0.0,1.0,91.95464998640196,92.14430894751156,91.45554745716616,91.93468588523251,7052203.0
2017-05-12,92.19,92.78,91.98,92.73,5898827.0,0.0,1.0,92.02452434049496,92.6134653249932,91.81490127821594,92.56355507206962,5898827.0
2017-05-15,92.73,93.4199,92.72,93.23,7015562.0,0.0,1.0,92.56355507206962,93.25221674190915,92.5535730214849,93.0626576013054,7015562.0
2017-05-16,93.35,93.7249,92.97,93.15,5497361.0,0.0,1.0,93.18244220832199,93.556669284743,92.8031242861028,92.98280119662769,5497361.0
2017-05-17,92.48,92.76,91.71,91.76,8240166.0,0.165,1.0,92.48,92.76,91.71,91.76,8240166.0
2017-05-18,91.36,92.48,91.36,91.71,8239825.0,0.0,1.0,91.36,92.48,91.36,91.71,8239825.0
2017-05-19,91.98,92.81,91.71,92.48,9361292.0,0.0,1.0,91.98,92.81,91.71,92.48,9361292.0
2017-05-22,92.53,93.6,92.43,93.31,9185304.0,0.0,1.0,92.53,93.6,92.43,93.31,9185304.0
2017-05-23,93.56,94.07,93.47,93.86,7616088.0,0.0,1.0,93.56,94.07,93.47,93.86,7616088.0
2017-05-24,94.02,94.99,94.02,94.81,6916548.0,0.0,1.0,94.02,94.99,94.02,94.81,6916548.0
2017-05-25,95.09,95.38,94.89,95.04,7261595.0,0.0,1.0,95.09,95.38,94.89,95.04,7261595.0
2017-05-26,95.0,95.12,94.39,94.67,4133942.0,0.0,1.0,95.0,95.12,94.39,94.67,4133942.0
2017-05-30,94.66,94.88,94.34,94.72,6292726.0,0.0,1.0,94.66,94.88,94.34,94.72,6292726.0
