Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,46.75,47.53,46.62,47.36,29343781.0,0.0,1.0,46.1382860512053,46.908079914733435,46.00998707395061,46.74030432909269,29343781.0
2017-04-27,47.36,47.39,46.66,46.67,16838540.0,0.0,1.0,46.74030432909269,46.76991178538223,46.049463682336665,46.059332834433185,16838540.0
2017-04-28,46.64,46.64,45.89,45.91,25922757.0,0.0,1.0,46.029725378143645,46.029725378143645,45.289538970905056,45.30927727509808,25922757.0
2017-05-01,46.06,46.15,45.88,45.88,14455200.0,0.0,1.0,45.4573145565458,45.54613692541443,45.27966981880854,45.27966981880854,14455200.0
2017-05-02,46.0,46.1,45.76,45.91,13397799.0,0.0,1.0,45.39809964396672,45.49679116493186,45.16123999365036,45.30927727509808,13397799.0
2017-05-03,46.02,46.25,45.83,46.15,19566835.0,0.0,1.0,45.41783794815974,45.64482844637958,45.23032405832596,45.54613692541443,19566835.0
2017-05-04,46.18,46.18,45.76,45.88,20767163.0,0.0,1.0,45.57574438170398,45.57574438170398,45.16123999365036,45.27966981880854,20767163.0
2017-05-05,46.08,46.73,46.0,46.69,17132991.0,0.0,1.0,45.47705286073883,46.11854774701227,45.39809964396672,46.07907113862621,17132991.0
2017-05-08,46.72,46.74,46.29,46.63,15561716.0,0.0,1.0,46.10867859491576,46.12841689910879,45.68430505476563,46.01985622604713,15561716.0
2017-05-09,46.52,46.59,46.16,46.42,14348978.0,0.0,1.0,45.91129555298547,45.98037961766107,45.55600607751094,45.812604032020324,14348978.0
2017-05-10,46.4,46.63,46.31,46.38,12669607.0,0.0,1.0,45.79286572782729,46.01985622604713,45.704043358958664,45.773127423634264,12669607.0
2017-05-11,46.31,46.37,45.975,46.02,12435758.0,0.0,1.0,45.704043358958664,45.76325827153775,45.373426763725426,45.41783794815974,12435758.0
2017-05-12,46.12,46.16,45.805,45.84,14470852.0,0.0,1.0,45.51652946912488,45.55600607751094,45.20565117808468,45.24019321042248,14470852.0
2017-05-15,45.91,45.94,45.25,45.38,20325258.0,0.0,1.0,45.30927727509808,45.33888473138762,44.65791323672813,44.786212213982814,20325258.0
2017-05-16,45.34,45.65,45.25,45.31,14813517.0,0.0,1.0,44.74673560559676,45.0526793205887,44.65791323672813,44.717128149307214,14813517.0
2017-05-17,44.95,44.98,44.46,44.48,21333481.0,0.0,1.0,44.36183867383269,44.39144613012223,43.87825022110348,43.897988525296505,21333481.0
2017-05-18,44.5,45.285,44.47,45.04,15648717.0,0.0,1.0,43.91772682948954,44.692455269065924,43.88811937319999,44.45066104270132,15648717.0
2017-05-19,45.16,45.44,44.76,45.42,12787845.0,0.0,1.0,44.569090867859494,44.8454271265619,44.17432478399891,44.825688822368875,12787845.0
2017-05-22,45.39,45.555,45.28,45.48,9288981.0,0.0,1.0,44.79608136607933,44.95892237567182,44.68752069301767,44.884903734947954,9288981.0
2017-05-23,45.48,45.58,45.4,45.48,8066343.0,0.0,1.0,44.884903734947954,44.9835952559131,44.80595051817584,44.884903734947954,8066343.0
2017-05-24,45.45,45.49,44.85,45.04,15957889.0,0.0,1.0,44.85529627865842,44.894772887044475,44.263147152867546,44.45066104270132,15957889.0
